[2020-11-17 18:10:54,256]-[util.py]-[INFO]:[打开浏览器，输入网址完毕]
[2020-11-17 18:10:56,543]-[util.py]-[INFO]:[完成登录]
[2020-11-17 18:10:56,570]-[util.py]-[INFO]:[断言成功]
[2020-11-17 18:10:56,616]-[util.py]-[INFO]:[点击确认按钮]
[2020-11-17 18:10:58,996]-[util.py]-[INFO]:[完成登录]
[2020-11-17 18:10:59,051]-[util.py]-[INFO]:[断言成功]
[2020-11-17 18:10:59,103]-[util.py]-[INFO]:[点击确认按钮]
[2020-11-17 18:11:01,453]-[util.py]-[INFO]:[完成登录]
[2020-11-17 18:11:01,514]-[util.py]-[INFO]:[断言成功]
[2020-11-17 18:11:01,589]-[util.py]-[INFO]:[点击确认按钮]
[2020-11-17 18:11:03,914]-[util.py]-[INFO]:[登陆完毕]
[2020-11-17 18:11:03,972]-[util.py]-[INFO]:[断言成功]
[2020-11-17 18:11:04,031]-[util.py]-[INFO]:[退出登录]
[2020-11-17 18:11:06,890]-[util.py]-[INFO]:[登陆完毕]
[2020-11-17 18:11:06,960]-[util.py]-[INFO]:[断言成功]
[2020-11-17 18:11:07,038]-[util.py]-[INFO]:[退出登录]
[2020-11-17 18:11:12,440]-[util.py]-[INFO]:[登陆完毕]
[2020-11-17 18:11:12,495]-[util.py]-[INFO]:[断言成功]
[2020-11-17 18:11:12,574]-[util.py]-[INFO]:[退出登录]
[2020-11-17 19:31:36,505]-[util.py]-[INFO]:[打开浏览器，输入网址完毕]
[2020-11-17 19:31:38,956]-[util.py]-[INFO]:[完成登录]
[2020-11-17 19:31:38,993]-[util.py]-[INFO]:[断言成功]
[2020-11-17 19:31:39,042]-[util.py]-[INFO]:[点击确认按钮]
[2020-11-17 19:31:41,357]-[util.py]-[INFO]:[完成登录]
[2020-11-17 19:31:41,415]-[util.py]-[INFO]:[断言成功]
[2020-11-17 19:31:41,466]-[util.py]-[INFO]:[点击确认按钮]
[2020-11-17 19:31:43,860]-[util.py]-[INFO]:[完成登录]
[2020-11-17 19:31:43,912]-[util.py]-[INFO]:[断言成功]
[2020-11-17 19:31:43,965]-[util.py]-[INFO]:[点击确认按钮]
[2020-11-17 19:31:46,344]-[util.py]-[INFO]:[登陆完毕]
[2020-11-17 19:31:46,410]-[util.py]-[INFO]:[断言成功]
[2020-11-17 19:31:46,490]-[util.py]-[INFO]:[退出登录]
[2020-11-17 19:31:50,163]-[util.py]-[INFO]:[登陆完毕]
[2020-11-17 19:31:50,205]-[util.py]-[INFO]:[断言成功]
[2020-11-17 19:31:50,304]-[util.py]-[INFO]:[退出登录]
[2020-11-17 19:31:59,807]-[util.py]-[INFO]:[登陆完毕]
[2020-11-17 19:31:59,863]-[util.py]-[INFO]:[断言成功]
[2020-11-17 19:31:59,926]-[util.py]-[INFO]:[退出登录]
[2020-11-18 12:45:15,331]-[util.py]-[INFO]:[打开浏览器，输入网址完毕]
[2020-11-18 12:45:17,618]-[util.py]-[INFO]:[完成登录]
[2020-11-18 12:45:17,641]-[util.py]-[INFO]:[断言成功]
[2020-11-18 12:45:17,690]-[util.py]-[INFO]:[点击确认按钮]
[2020-11-18 12:45:20,033]-[util.py]-[INFO]:[完成登录]
[2020-11-18 12:45:20,078]-[util.py]-[INFO]:[断言成功]
[2020-11-18 12:45:20,155]-[util.py]-[INFO]:[点击确认按钮]
[2020-11-18 12:45:22,540]-[util.py]-[INFO]:[完成登录]
[2020-11-18 12:45:22,581]-[util.py]-[INFO]:[断言成功]
[2020-11-18 12:45:22,652]-[util.py]-[INFO]:[点击确认按钮]
[2020-11-18 12:45:25,012]-[util.py]-[INFO]:[登陆完毕]
[2020-11-18 12:45:25,188]-[util.py]-[INFO]:[断言成功]
[2020-11-18 12:45:25,308]-[util.py]-[INFO]:[退出登录]
[2020-11-18 12:45:28,716]-[util.py]-[INFO]:[登陆完毕]
[2020-11-18 12:45:28,781]-[util.py]-[INFO]:[断言成功]
[2020-11-18 12:45:28,875]-[util.py]-[INFO]:[退出登录]
[2020-11-18 12:45:31,680]-[util.py]-[INFO]:[登陆完毕]
[2020-11-18 12:45:31,751]-[util.py]-[INFO]:[断言成功]
[2020-11-18 12:45:31,833]-[util.py]-[INFO]:[退出登录]
